# GameSim:id,homeFormation,awayFormation,gameState,time
GameSim:0,ONE_FOUR_FOUR_TWO,ONE_FOUR_FOUR_TWO,END_GAME,90
GameSim:1,ONE_FOUR_FOUR_TWO,ONE_FOUR_FOUR_TWO,END_GAME,90
GameSim:2,ONE_FOUR_FOUR_TWO,ONE_FOUR_FOUR_TWO,END_GAME,90
GameSim:3,ONE_FOUR_THREE_THREE,ONE_FOUR_THREE_THREE,END_GAME,90
GameSim:4,ONE_FOUR_THREE_THREE,ONE_FOUR_THREE_THREE,END_GAME,90
GameSim:5,ONE_FOUR_THREE_THREE,ONE_FOUR_THREE_THREE,END_GAME,90
GameSim:6,ONE_FOUR_THREE_THREE,ONE_FOUR_THREE_THREE,END_GAME,90
GameSim:7,ONE_FOUR_THREE_THREE,ONE_FOUR_THREE_THREE,END_GAME,90
GameSim:8,ONE_FOUR_FOUR_TWO,ONE_FOUR_FOUR_TWO,END_GAME,90
GameSim:9,ONE_FOUR_FOUR_TWO,ONE_FOUR_FOUR_TWO,END_GAME,90
GameSim:10,ONE_FOUR_FOUR_TWO,ONE_FOUR_FOUR_TWO,END_GAME,90
GameSim:11,ONE_FOUR_FOUR_TWO,ONE_FOUR_FOUR_TWO,END_GAME,90
GameSim:12,ONE_FOUR_FOUR_TWO,ONE_FOUR_FOUR_TWO,END_GAME,90
GameSim:13,ONE_FOUR_FOUR_TWO,ONE_FOUR_FOUR_TWO,END_GAME,90
GameSim:14,ONE_FOUR_THREE_THREE,ONE_FOUR_THREE_THREE,END_GAME,90
GameSim:15,ONE_FOUR_THREE_THREE,ONE_FOUR_THREE_THREE,END_GAME,90
GameSim:16,ONE_FOUR_THREE_THREE,ONE_FOUR_THREE_THREE,END_GAME,90
GameSim:17,ONE_FOUR_THREE_THREE,ONE_FOUR_THREE_THREE,END_GAME,90
GameSim:18,ONE_FOUR_FOUR_TWO,ONE_FOUR_FOUR_TWO,END_GAME,90
GameSim:19,ONE_FOUR_FOUR_TWO,ONE_FOUR_FOUR_TWO,END_GAME,90
GameSim:20,ONE_FOUR_FOUR_TWO,ONE_FOUR_FOUR_TWO,END_GAME,90
